idade,sexo,cor_raca,anos_estudo,setor,regiao,rendimento_hora
20,M,Parda,12,Industria,Norte,8.1375
32,M,Preta,12,Industria,Norte,11.25
32,M,Branca,11,Comercio,Norte,12.5
53,F,Parda,5,Servicos,Norte,7.5
62,M,Parda,16,Servicos,Norte,22.5
21,M,Parda,13,Agricultura,Norte,5.0
33,M,Parda,16,Industria,Norte,10.625
22,M,Branca,13,Industria,Norte,17.1875
26,M,Parda,11,Industria,Norte,11.25
68,M,Branca,5,Servicos,Norte,28.125
60,F,Branca,12,Servicos,Norte,22.5
61,M,Branca,1,Agricultura,Norte,9.375
40,M,Preta,2,Agricultura,Norte,12.5
57,F,Branca,2,Agricultura,Norte,12.5
63,M,Branca,7,Agricultura,Norte,12.5
25,F,Parda,9,Agricultura,Norte,6.25
43,M,Branca,16,Agricultura,Norte,6.25
38,F,Branca,4,Agricultura,Norte,6.25
45,M,Preta,4,Agricultura,Norte,6.25
52,M,Parda,3,Agricultura,Norte,7.5
48,F,Preta,3,Agricultura,Norte,7.5
54,M,Branca,5,Agricultura,Norte,5.0
50,F,Parda,3,Agricultura,Norte,3.75
50,M,Parda,5,Agricultura,Norte,5.0
40,M,Parda,12,Construcao,Norte,15.625
28,F,Branca,12,Agricultura,Norte,7.5
29,M,Branca,1,Agricultura,Norte,7.5
42,M,Parda,0,Industria,Norte,12.5
69,M,Branca,3,Agricultura,Norte,12.5
63,M,Branca,2,Agricultura,Norte,12.5
60,M,Branca,12,Comercio,Norte,18.75
55,M,Parda,9,Agricultura,Norte,18.75
53,F,Parda,12,Comercio,Norte,7.8125
45,M,Parda,5,Industria,Norte,8.14375
37,F,Parda,12,Agricultura,Norte,17.5
45,M,Preta,5,Agricultura,Norte,17.5
70,M,Parda,9,Comercio,Norte,3.75
56,F,Branca,16,Servicos,Norte,12.5
54,M,Branca,16,Industria,Norte,15.625
44,F,Parda,12,Industria,Norte,8.175
39,M,Parda,8,Agricultura,Norte,8.175
51,M,Branca,0,Agricultura,Norte,18.75
38,F,Branca,12,Agricultura,Norte,18.75
29,M,Parda,8,Agricultura,Norte,8.75
60,M,Branca,12,Agricultura,Norte,6.25
34,M,Parda,9,Agricultura,Norte,8.125
55,M,Branca,5,Agricultura,Norte,18.75
46,F,Branca,4,Servicos,Norte,17.5
39,M,Branca,8,Agricultura,Norte,12.5
32,M,Branca,13,Agricultura,Norte,25.0
24,M,Branca,13,Agricultura,Norte,21.875
23,M,Parda,9,Agricultura,Norte,18.75
44,M,Branca,5,Agricultura,Norte,7.575
36,F,Branca,5,Agricultura,Norte,7.575
35,M,Branca,9,Agricultura,Norte,7.5
35,M,Parda,6,Agricultura,Norte,9.375
47,M,Branca,5,Agricultura,Norte,7.575
43,M,Parda,5,Agricultura,Norte,9.375
20,M,Parda,12,Agricultura,Norte,9.375
42,M,Branca,5,Agricultura,Norte,7.575
33,M,Preta,16,Servicos,Norte,31.25
22,M,Parda,12,Agricultura,Norte,13.75
43,M,Parda,0,Agricultura,Norte,9.375
21,M,Parda,12,Agricultura,Norte,12.5
39,M,Parda,12,Agricultura,Norte,7.575
30,M,Parda,11,Agricultura,Norte,12.5
66,M,Branca,5,Agricultura,Norte,25.0
48,M,Parda,4,Agricultura,Norte,1.875
29,M,Branca,16,Industria,Norte,31.25
52,F,Parda,2,Industria,Norte,3.75
36,M,Parda,12,Industria,Norte,18.75
50,M,Branca,10,Industria,Norte,11.25
70,M,Parda,0,Agricultura,Norte,3.125
44,F,Parda,12,Servicos,Norte,12.5
22,M,Parda,12,Servicos,Norte,9.375
31,F,Parda,12,Industria,Norte,12.5
30,M,Parda,16,Industria,Norte,18.75
31,F,Parda,12,Servicos,Norte,21.875
53,M,Parda,12,Servicos,Norte,21.875
49,M,Preta,8,Industria,Norte,5.0
33,M,Parda,15,Servicos,Norte,11.25
55,M,Branca,12,Agricultura,Norte,20.625
39,F,Parda,16,Industria,Norte,22.9125
62,M,Preta,13,Industria,Norte,11.25
56,F,Parda,4,Industria,Norte,3.125
32,M,Branca,10,Industria,Norte,11.25
35,M,Parda,6,Industria,Norte,15.625
30,M,Branca,10,Industria,Norte,16.875
39,M,Parda,12,Industria,Norte,25.0
42,F,Branca,12,Industria,Norte,9.375
44,F,Parda,16,Servicos,Norte,17.5
18,M,Parda,12,Servicos,Norte,32.5
35,F,Parda,12,Comercio,Norte,10.625
18,F,Branca,12,Agricultura,Norte,8.75
39,M,Parda,0,Industria,Norte,15.625
34,F,Branca,0,Industria,Norte,10.625
43,M,Parda,16,Comercio,Norte,31.25
30,M,Parda,15,Industria,Norte,8.1375
56,F,Parda,16,Servicos,Norte,31.25
28,F,Parda,12,Comercio,Norte,8.625
30,M,Parda,12,Industria,Norte,18.75
35,M,Parda,12,Servicos,Norte,15.625
29,M,Parda,12,Comercio,Norte,15.625
59,M,Parda,0,Industria,Norte,12.5
47,M,Preta,2,Industria,Norte,7.5
33,F,Parda,12,Servicos,Norte,12.5
44,F,Parda,16,Industria,Norte,21.875
36,M,Branca,16,Servicos,Norte,31.25
53,F,Branca,12,Comercio,Norte,10.625
19,F,Branca,12,Comercio,Norte,10.625
70,M,Parda,4,Agricultura,Norte,7.575
29,F,Parda,16,Servicos,Norte,18.75
43,M,Parda,12,Servicos,Norte,15.625
35,F,Parda,16,Industria,Norte,18.75
57,M,Preta,6,Servicos,Norte,12.5
29,M,Branca,12,Industria,Norte,17.5
28,F,Branca,12,Servicos,Norte,9.375
70,F,Branca,9,Comercio,Norte,12.5
38,F,Parda,12,Servicos,Norte,15.625
52,M,Branca,6,Comercio,Norte,8.125
68,F,Parda,12,Servicos,Norte,6.25
44,M,Parda,7,Servicos,Norte,9.375
54,M,Branca,5,Agricultura,Norte,31.25
65,M,Parda,12,Agricultura,Norte,19.7875
76,F,Branca,0,Agricultura,Norte,7.8125
48,F,Parda,16,Agricultura,Norte,7.8125
51,M,Parda,2,Agricultura,Norte,18.75
76,M,Branca,13,Agricultura,Norte,8.125
60,M,Branca,9,Agricultura,Norte,6.25
51,M,Parda,12,Agricultura,Norte,31.25
46,M,Parda,9,Agricultura,Norte,11.25
79,M,Parda,4,Agricultura,Norte,31.25
50,M,Preta,6,Agricultura,Norte,14.375
45,M,Parda,12,Agricultura,Norte,18.75
52,M,Parda,8,Industria,Norte,9.375
32,M,Parda,12,Comercio,Norte,8.1375
28,M,Parda,10,Industria,Norte,12.5
20,F,Parda,12,Comercio,Norte,8.1375
35,M,Branca,12,Construcao,Norte,9.375
32,F,Preta,12,Industria,Norte,9.375
64,M,Branca,3,Agricultura,Norte,4.375
43,M,Parda,9,Industria,Norte,12.5
50,F,Parda,12,Servicos,Norte,12.5
46,M,Parda,6,Industria,Norte,12.5
51,M,Branca,9,Construcao,Norte,10.0
21,F,Parda,12,Servicos,Norte,8.75
23,M,Parda,10,Agricultura,Norte,6.25
45,M,Parda,12,Agricultura,Norte,11.875
18,F,Parda,12,Agricultura,Norte,5.0
22,M,Parda,12,Servicos,Norte,11.875
41,F,Parda,12,Servicos,Norte,9.375
50,F,Parda,6,Servicos,Norte,6.25
44,M,Parda,5,Agricultura,Norte,8.75
35,M,Parda,9,Industria,Norte,10.0
19,M,Parda,10,Agricultura,Norte,12.5
46,F,Parda,6,Industria,Norte,9.375
62,M,Parda,6,Industria,Norte,10.0
58,M,Preta,6,Construcao,Norte,11.875
61,M,Branca,12,Servicos,Norte,31.25
56,F,Parda,16,Servicos,Norte,31.25
40,F,Preta,16,Servicos,Norte,12.5
41,M,Branca,6,Agricultura,Norte,18.125
49,F,Branca,16,Servicos,Norte,15.625
31,M,Branca,11,Agricultura,Norte,9.375
48,M,Parda,5,Industria,Norte,11.25
28,F,Parda,14,Servicos,Norte,12.5
35,M,Preta,16,Servicos,Norte,11.875
43,M,Parda,13,Servicos,Norte,20.0
52,M,Parda,15,Industria,Norte,15.625
27,M,Parda,16,Servicos,Norte,18.75
56,F,Parda,12,Agricultura,Norte,8.15625
